data,hora,taxa
2024/02/12,12:29:59,10.699753156731479
2024/02/12,12:30:02,11.593477255848363
2024/02/12,12:30:05,11.331272772194238
2024/02/12,12:30:07,11.301843016816054
2024/02/12,12:30:10,10.750087492546598
2024/02/12,12:30:12,11.318026364677026
2024/02/12,12:30:14,10.75256043587546
2024/02/12,12:30:15,11.46193489215003
2024/02/12,12:30:18,11.647637399140237
2024/02/12,12:30:20,11.162521575108359
2024/02/12,12:34:05,10.882103624663051
2024/02/12,12:34:07,11.052519217965855
2024/02/12,12:34:09,11.437773706475854
2024/02/12,12:34:12,11.63017979049865
2024/02/12,12:34:14,11.387432192995105
2024/02/12,12:34:16,11.228332163270903
2024/02/12,12:34:18,11.647987402264812
2024/02/12,12:34:21,10.898077222319145
2024/02/12,12:34:24,11.356101322278915
2024/02/12,12:34:25,10.711193320946009
